Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
groundworks houston,1,1,140,25,11.96,https://www.groundworks.com/locations/groundworks-houston/,112,0.13,1339.00,0.77,208000,"[9,52,52,52,52,52,52,52,80,80,100,100]",2026-01-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
grounds works,1,1,140,47,9.18,https://www.groundworks.com/,112,0.13,1028.00,0.38,1660000000,"[0,0,0,36,0,100,1,29,15,1,1,1]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
bq basement systems erdenheim pa,1,1,140,14,11.57,https://www.groundworks.com/locations/bq-basements-concrete/,112,0.13,1295.00,0.66,960,"[14,11,17,21,17,21,17,14,7,9,14,9]",2026-02-07,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
groundworks fairfield,1,1,140,30,8.16,https://www.groundworks.com/locations/groundworks-fairfield/,112,0.13,913.00,0.49,101000,"[0,14,52,66,80,52,52,100,80,66,100,66]",2026-03-02,"Knowledge panel, Sitelinks, Video, Image, Related searches","navigational, transactional",Organic
groundworks san jose,1,1,140,15,5.46,https://www.groundworks.com/locations/groundworks-san-jose/groundworks-san-jose-branch/,112,0.13,611.00,0.6,154000,"[64,100,64,64,64,82,64,82,82,82,82,52]",2026-01-06,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",Organic
groundworks san antonio,1,1,140,28,15.19,https://www.groundworks.com/locations/groundworks-san-antonio/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-sat,112,0.13,1701.00,0.94,147000,"[9,52,52,52,80,66,80,80,100,100,100,52]",2026-01-06,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
concrete caulking,1,1,1600,30,0.53,https://www.groundworks.com/resources/how-to-fill-gaps-between-concrete/,105,0.12,55.00,1,22300000,"[16,27,20,24,44,80,80,44,100,52,36,24]",2026-02-06,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview",transactional,People also ask
foundation repair experts,2,2,2400,44,17.83,https://www.groundworks.com/solutions/foundation-repair/,105,0.12,1872.00,0.09,0,"[16,18,24,29,35,53,53,53,100,53,66,53]",2026-03-08,"Local pack, Video, Image, Video Carousel, Related searches",commercial,Organic
crawl space piers,1,1,2900,6,5.26,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,101,0.11,531.00,0.44,0,"[2,2,2,4,1,2,13,100,100,100,100,100]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
crawl space piers,1,1,2900,6,5.26,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,100,0.11,526.00,0.44,0,"[2,2,2,4,1,2,13,100,100,100,100,100]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
pier foundation,1,1,2900,19,5.75,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,100,0.11,575.00,0.15,97600000,"[43,54,54,43,81,81,43,54,54,43,81,65]",2026-03-05,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
fix house foundation,1,1,2900,29,19.20,https://www.groundworks.com/resources/easy-steps-to-repair-house-foundation/,100,0.11,1920.00,0.54,0,"[1,2,2,19,81,100,81,81,19,81,10,15]",2026-03-07,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
crack in concrete slab foundation,1,1,2900,9,6.06,https://www.groundworks.com/solutions/foundation-repair/cracked-foundation-slab/,100,0.11,606.00,0.43,128,"[5,4,2,29,29,3,35,7,100,81,81,23]",2026-03-05,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
mold in crawl space removal,1,1,1600,18,11.85,https://www.groundworks.com/resources/removing-crawl-space-mold/,97,0.11,1149.00,0.48,2610000,"[7,10,5,8,8,10,13,13,100,7,7,100]",2026-02-06,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
professional foundation repair,1,1,1600,29,16.21,https://www.groundworks.com/service-areas/foundation-repair-grand-island-ne/,97,0.11,1572.00,0.1,229000000,"[24,20,27,44,52,44,100,52,66,27,27,24]",2026-02-02,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
ohio basement systems,1,1,390,15,9.91,https://www.groundworks.com/locations/ohio-basement-systems/,96,0.11,951.00,0.87,9240000,"[16,20,16,16,16,16,24,20,20,16,13,13]",2026-01-07,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
foundation companies near me,5,5,4400,33,22.42,https://www.groundworks.com/solutions/foundation-repair/,96,0.11,2152.00,0.68,970000000,"[29,29,29,35,35,66,81,81,100,66,66,29]",2026-03-03,"Knowledge panel, Video, People also ask, Related searches, AI overview",transactional,Organic
foundation crack,1,1,2900,5,6.62,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,94,0.11,622.00,0.41,209000000,"[4,7,8,29,12,19,8,16,81,81,100,81]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,People also ask
ground works,1,1,3600,42,9.18,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,93,0.1,853.00,0.38,1360000000,"[44,66,44,53,81,81,66,81,35,53,53,81]",2026-03-03,"Local pack, Sitelinks, Video, People also ask, Related searches, See results about",navigational,Local pack
the notebook house,1,1,8100,32,0.00,https://www.groundworks.com/resources/the-notebook-movie-house-floor-plan-and-renovations/,89,0.1,0.00,0,262000000,"[54,54,54,54,54,66,66,81,66,81,81,54]",2026-03-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Things to know
groundworks sacramento,1,1,110,16,7.29,https://www.groundworks.com/service-areas/foundation-repair-sacramento-ca/,88,0.1,641.00,0.79,81700,"[0,0,64,64,64,64,64,100,64,64,82,52]",2026-02-08,"Knowledge panel, Image, People also ask, Related searches","navigational, transactional",Organic
groundworks contractor,1,1,110,27,5.69,https://www.groundworks.com/,88,0.1,500.00,0.06,1410000,"[29,82,82,82,64,82,64,29,29,64,64,29]",2026-01-26,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ground works foundation,1,1,110,37,14.51,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,88,0.1,1276.00,0.86,576000000,"[4,4,4,22,22,22,22,22,14,18,100,22]",2026-02-08,"Local pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Local pack
groundworks nj,1,1,110,20,8.76,https://www.groundworks.com/locations/groundworks-new-jersey/groundworks-new-jersey-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ewr,88,0.1,770.00,0.75,175000,"[7,42,42,42,100,42,26,53,53,34,42,34]",2026-01-19,"Local pack, Video, Image, People also ask, Related searches",navigational,Local pack
groundworks wichita,1,1,110,,11.26,https://www.groundworks.com/locations/groundworks-wichita/,88,0.1,990.00,0.21,17400,"[78,50,78,64,100,78,64,50,50,78,100,78]",2026-01-20,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
innovative basement,1,1,110,,7.45,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,88,0.1,655.00,0.6,27700000,"[23,23,42,52,52,80,100,100,80,66,42,23]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches, See results about",navigational,Local pack
groundworks construction,1,1,110,24,5.78,https://www.groundworks.com/,88,0.1,508.00,0.32,3480000,"[9,12,12,19,15,19,15,23,15,9,4,15]",2026-02-23,"Local pack, Sitelinks, Video, People also ask, Related searches, See results about",navigational,Organic
groundworks com,1,1,110,45,9.03,https://www.groundworks.com/,88,0.1,794.00,0.72,3690000,"[78,64,100,78,78,78,78,100,100,78,78,35]",2026-02-15,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
groundworks fort wayne,1,1,110,21,9.25,https://www.groundworks.com/locations/groundworks-fort-wayne/,88,0.1,814.00,0.68,23900,"[0,0,7,42,42,65,100,42,26,53,65,80]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
pier and beam foundation,1,1,8100,16,6.36,https://www.groundworks.com/resources/pier-and-beam-vs-slab-foundation/,87,0.1,553.00,0.2,0,"[44,54,54,54,81,81,100,100,81,81,44,81]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,AI overview
cracks in foundation slab,3,3,3600,7,6.61,https://www.groundworks.com/solutions/foundation-repair/cracked-foundation-slab/,86,0.1,568.00,0.42,143,"[3,1,29,1,35,0,1,100,81,81,81,81]",2026-03-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
cracked foundation,7,7,3600,27,7.24,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,86,0.1,622.00,0.41,0,"[13,13,24,19,19,36,28,100,100,100,100,100]",2026-03-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
foundation repair professional,4,0,3600,49,16.88,https://www.groundworks.com/solutions/foundation-repair/,86,0.1,1451.00,0.11,0,"[1,19,66,66,66,100,0,3,36,54,29,24]",2026-03-08,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
fix sloping porch,1,1,1900,12,0.00,https://www.groundworks.com/resources/how-to-fix-sinking-front-porch/,83,0.09,0.00,0,5020000,[100],2026-01-22,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
encapsulated crawl space,1,1,6600,20,11.09,https://www.groundworks.com/resources/a-guide-to-crawl-space-encapsulation/,79,0.09,876.00,0.44,865000,"[19,23,29,54,36,36,29,44,81,81,81,81]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Things to know
world largest dam in world,2,2,2400,41,0.00,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,78,0.09,0.00,0,144000000,"[3,3,81,81,100,43,54,0,0,0,0,66]",2026-03-02,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
crack in foundation wall,1,1,2400,7,4.75,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,78,0.09,370.00,0.55,45400000,"[4,7,4,7,3,5,7,5,100,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
concrete crack filler,1,1,12100,27,0.96,https://www.groundworks.com/resources/costly-diy-concrete-crack-repair-mistakes/,78,0.09,74.00,1,64100000,"[36,36,44,54,66,81,100,100,100,100,81,54]",2026-03-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
basement crawl space encapsulation,1,1,4400,25,11.09,https://www.groundworks.com/resources/do-i-need-encapsulation-in-crawl-space/,77,0.09,853.00,0.44,202,"[1,0,2,3,81,81,81,81,100,81,81,81]",2026-03-05,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
foundation repair st clair shores michigan seo analysis,1,1,590,0,0.00,https://www.groundworks.com/service-areas/foundation-repair-saint-clair-shores-mi/,77,0.09,0.00,0,0,"[5,100]",2026-03-06,"Sitelinks, Related searches, AI overview",commercial,Organic
joists definition,1,1,590,50,1.03,https://www.groundworks.com/glossary/floor-joists/,73,0.08,75.00,0,1400000,"[10,3,16,5,3,20,0,8,66,20,10,8]",2026-01-10,"Knowledge panel, Image pack, Video, People also ask, Related searches, Short videos",informational,People also ask
groundworks services,1,1,90,31,7.48,https://www.groundworks.com/,72,0.08,538.00,0.05,4320000,"[23,23,33,100,66,100,52,9,33,19,14,14]",2026-02-28,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
rainy day basement systems,1,1,90,21,10.82,https://www.groundworks.com/locations/rainy-day-crawl-space-basement/,72,0.08,779.00,0.74,2920000,"[28,28,15,28,15,34,43,43,21,21,21,6]",2026-02-01,"Knowledge panel, Image pack, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
concrete raising near me,4,0,2400,9,14.69,https://www.groundworks.com/service-areas/concrete-lifting-memphis-tn/,72,0.08,1057.00,0.25,0,"[28,54,54,54,66,15,36,36,24,43,15,19]",2026-03-08,"Local pack, Video, Related searches",transactional,Organic
groundworks inc,1,1,90,30,4.75,https://www.groundworks.com/,72,0.08,342.00,0.19,1090000,"[4,3,3,5,5,5,4,4,4,5,4,3]",2026-01-16,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
innovative basement systems,1,1,90,32,7.45,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,72,0.08,536.00,0.6,6420000,"[10,10,12,17,23,28,35,35,28,23,17,7]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
groundworks rowe,1,1,90,24,11.58,https://www.groundworks.com/rowe/,72,0.08,833.00,0.71,28900,"[63,100,100,100,100,100,100,63,63,36,18,18]",2026-02-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
groundworks grand junction,1,1,90,18,12.23,https://www.groundworks.com/locations/groundworks-grand-junction/,72,0.08,880.00,0.6,59100,"[14,78,78,64,64,50,50,100,78,64,78,50]",2026-01-20,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
groundworks memphis,1,1,90,15,11.42,https://www.groundworks.com/locations/groundworks-memphis/,72,0.08,822.00,0.69,23200,"[0,0,11,64,64,64,100,64,64,100,64,64]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","navigational, transactional",Organic
ground works near me,1,1,90,29,10.54,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,72,0.08,758.00,0.82,609000000,"[6,21,43,21,21,28,15,34,21,28,100,21]",2026-02-28,"Local pack, Sitelinks, Video, People also ask, Related searches","navigational, transactional",Local pack
foundation and basement waterproofing,1,1,880,43,10.22,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,72,0.08,735.00,0.74,0,"[0,0,2,2,1,2,3,13,19,5,100,5]",2026-03-04,"Local pack, Sitelinks, Video, Video Carousel, Related searches",informational,Local pack
crawl space company near me,1,1,880,8,23.12,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,72,0.08,1664.00,0.91,34600000,"[16,5,10,10,10,20,36,36,100,66,41,41]",2026-03-03,"Local pack, Video, People also ask, Related searches",transactional,Local pack
groundworks fairfield ca,1,1,90,18,8.20,https://www.groundworks.com/locations/groundworks-fairfield/,72,0.08,590.00,0.4,23900,"[0,4,4,14,4,4,4,100,43,4,22,22]",2026-01-23,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
mike rowe groundworks,1,1,90,30,8.94,https://www.groundworks.com/rowe/,72,0.08,643.00,0.36,14400,"[45,100,100,18,100,63,63,100,100,100,100,81]",2026-01-28,"Video, Image, People also ask, Related searches, Short videos",informational,Organic
groundworks sunnyvale,1,1,90,23,6.05,https://www.groundworks.com/service-areas/foundation-repair-sunnyvale-ca/,72,0.08,435.00,0.46,6710,"[5,11,64,64,64,64,64,100,64,52,41,41]",2026-02-08,"Knowledge panel, Image, People also ask, Related searches","informational, transactional",Organic
groundworks utah,1,1,90,15,12.50,https://www.groundworks.com/service-areas/utah/,72,0.08,900.00,0.65,0,"[0,14,14,14,78,78,78,78,78,100,64,78]",2026-03-08,"Knowledge panel, Related searches","informational, transactional",Organic
